master_key,source_id,trade_name,active_ingredient,strength,dosage_form,package_shape,manufacturer_ar,source,source_uri
XRDF-12099,12099,ATROPINE ELSAAD-0.5 AMP.,ATROPINE SULFATE,0.5 MG/AMP.,محلول للحقن/حبابات,FOR /5/AMP.OF 1ML.,معمل السعد للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12099
XRDF-121,121,XANTRIC-40 CTD TAB.,FEBUXOSTAT,40 MG/CTD TAB.,أقراص ملبسة,FOR /20/CTD TAB.BLISTER,بركات للصناعات الدوائية محدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/121
XRDF-1210,1210,VALIOPAM 2,DIAZEPAM,2 MG/ TAB.,أقراص,FOR /20/TAB.BLISTER,شركة سيفارما للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/1210
XRDF-12100,12100,BACTOSIN OINT,MUPIROCIN,2 %,مرهم,FOR /30/G.OINT IN ALU.TUBE,شركة ابن الهيثم للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12100
XRDF-12101,12101,ATROPINE ELSAAD-1 AMP.,ATROPINE SULFATE,1 MG/AMP.,محلول للحقن/حبابات,FOR /5/AMP.OF 1ML.,معمل السعد للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12101
XRDF-12102,12102,BACTRIM SUSP.,SULFAMETHOXAZOLE+TRIMETHOPRIM,200 MG+40 MG/5 ML.,معلق فموي,FOR /60/ML.SUSP.IN GLASS BOTTLE,المتوسط للصناعات الدوائية محدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12102
XRDF-12103,12103,ATROPINE EYE DROPS,ATROPINE SULFATE,1 %,قطرة عينية,FOR /5/ML.DROPS IN PLASTIC BOTTLE,شركة ميديكو,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12103
XRDF-12104,12104,BACTRIM SUSP.,SULFAMETHOXAZOLE+TRIMETHOPRIM,200 MG+40 MG/5 ML.,معلق فموي,FOR /100/ML.SUSP.IN GLASS BOTTLE,المتوسط للصناعات الدوائية محدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12104
XRDF-12105,12105,ATROPINE EYE DROPS,ATROPINE SULFATE,1 %,قطرة عينية,FOR /10/ML.DROPS IN PLASTIC BOTTLE,شركة ميديكو,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12105
XRDF-12106,12106,BAHRI COLD CTD TAB.,PARACETAMOL+DEXTROMETHORPHAN+PHENYLEPHRINE HCL,325MG+10MG+5MG/CTD TAB.,أقراص ملبسة,FOR /20/CTD TAB.BLISTER P.V.D.C.,شركة بحري الطبية المحدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12106
XRDF-12107,12107,ATROPINE IBN HAYYAN AMP.,ATROPINE SULFATE,1 MG/AMP.,محلول للحقن/حبابات,FOR /5/AMP.OF 1ML.,معمل ابن حيان للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12107
XRDF-12108,12108,BAHRI-CRON 30 MR.TAB.,GLICLAZIDE,30 MG/TAB.,أقراص,FOR /10/TAB.BLISTER,شركة بحري الطبية المحدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12108
XRDF-12109,12109,ATROPINE IBN HAYYAN AMP.,ATROPINE SULFATE,1 MG/AMP.,محلول للحقن/حبابات,FOR /25/AMP.OF 1ML.,معمل ابن حيان للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12109
XRDF-1211,1211,TYLOXI MOND SYRUP,PARACETAMOL,160 MG/5 ML.,شراب,FOR /100/ML.SY.IN GLASS BOTTLE,دياموند فارما,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/1211
XRDF-12110,12110,BAHRI-CRON 30 MR.TAB.,GLICLAZIDE,30 MG/TAB.,أقراص,FOR /20/TAB.BLISTER,شركة بحري الطبية المحدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12110
XRDF-12111,12111,ATROPINE IBN HAYYAN AMP.,ATROPINE SULFATE,1 MG/AMP.,محلول للحقن/حبابات,FOR /100/AMP.OF 1ML.,معمل ابن حيان للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12111
XRDF-12112,12112,BAHRI-CRON 30 MR.TAB.,GLICLAZIDE,30 MG/TAB.,أقراص,FOR /30/TAB.BLISTER,شركة بحري الطبية المحدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12112
XRDF-12113,12113,ATROPINE MEDICO 1% SINGLE DOSE EYE DROP,ATROPINE SULFATE,5 MG/SINGLE DOSE EYE DROP OF 0.5 ML.,قطرة عينية \جرعة وحيدة,FOR /10/PLASTIC SINGLE DOSES EYE DROP OF 0.5ML.,شركة ميديكو,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12113
XRDF-12114,12114,BAHRI-CRON 60 M.R.TAB.,GLICLAZIDE,60 MG/TAB.,أقراص,FOR /30/TAB.BLISTER,شركة بحري الطبية المحدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12114
XRDF-12115,12115,ATROPINE-0.5% EYE DROP,ATROPINE SULFATE,0.5 %,قطرة عينية,FOR /10/ML.DROPS IN PLASTIC BOTTLE,شركة ميديكو,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12115
XRDF-12116,12116,BAHRI-CRON 80 TAB.,GLICLAZIDE,80 MG/TAB.,أقراص,FOR /20/TAB.BLISTER,شركة بحري الطبية المحدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12116
XRDF-12117,12117,ATROPINE-2 % EYE DROPS,ATROPINE SULFATE,2 %,قطرة عينية,FOR /10/ML.EYE DROPS IN GLASS BOTTLE,شركة ميديكو,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12117
XRDF-12118,12118,BAHRI-FLU F.CTD TAB.,PARACETAMOL+GUAIFENESIN+PHENYLEPHRINE,250MG+100MG+5MG/F.C.TAB.,أقراص ملبسة,FOR /30/F.CTD TAB.BLISTER,شركة بحري الطبية المحدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12118
XRDF-12119,12119,ATROPINE-AVENZOR AMP,ATROPINE SULFATE,0.4 MG/AMP.,محلول للحقن/حبابات,FOR /25/AMP.OF 1ML.,شركة ابن زهر للصناعات الصيدلانية المساهمة المغفلة الخاصة,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12119
XRDF-1212,1212,VALIOPAM 5,DIAZEPAM,5 MG/ TAB.,أقراص,FOR /20/TAB.BLISTER,شركة سيفارما للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/1212
XRDF-12120,12120,BAHRI-FLU SYRUP,PARACETAMOL+GUAIFENESIN+PHENYLEPHRINE,125MG+50MG+2.5MG/5ML.,شراب,FOR /100/ML.SYROP IN GLASS BOTTLE,شركة بحري الطبية المحدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12120
XRDF-12121,12121,ATROXYLATE TAB.,DIPHENOXYLATE HCL+ATROPINE SULFATE,2.5 MG+25 MCG/TAB.,أقراص,FOR /20/TAB.BLISTER P.V.D.C.,معمل القنواتي للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12121
XRDF-12122,12122,BALAFLEX TAB.,CHLORZOXAZONE,250 MG/TAB.,أقراص,FOR /20/TAB.BLISTER,شركة البلسم للصناعات الدوائية ومواد التجميل,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12122
XRDF-12123,12123,AUGMAFAM ES,AMOXICILLIN+CLAVULANIC ACID,600 MG+42.5 MG/5ML.,معلق جاف,FOR /60/ML.SUSP.IN GLASS BOTTLE,افاميا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12123
XRDF-12124,12124,BALCAIN GEL,LIDOCAINE,2 %,جل,FOR /40/G.GEL IN ALU.TUBE,شركة البلسم للصناعات الدوائية ومواد التجميل,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12124
XRDF-12125,12125,AUGMAFAM ES,AMOXICILLIN+CLAVULANIC ACID,600 MG+42.5 MG/5ML.,معلق جاف,FOR /100/ML.SUSP.IN GLASS BOTTLE,افاميا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12125
XRDF-12126,12126,BALCAIN GEL,LIDOCAINE,2 %,جل,FOR /30/G.GEL IN ALU.TUBE,شركة البلسم للصناعات الدوائية ومواد التجميل,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12126
XRDF-12127,12127,AUGMAFAM-1000 CTD TAB.,AMOXICILLIN+CLAVULANIC ACID,875MG+125MG/CTD TAB.,أقراص ملبسة,FOR /6/CTD TAB. ALU.ALU.,افاميا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12127
